8,45000 ps,warning,,,,5. This check failed. Expected sig_TX_Done =  '1', got sig_TX_Done =  '0' at n = 3.
10,75000 ps,warning,,,,9. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
12,85000 ps,warning,,,,11. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
14,95000 ps,warning,,,,13. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
16,105000 ps,warning,,,,15. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
18,115000 ps,warning,,,,17. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
20,125000 ps,warning,,,,19. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
22,135000 ps,warning,,,,21. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
24,145000 ps,warning,,,,23. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
26,155000 ps,warning,,,,25. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
28,165000 ps,warning,,,,27. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
30,175000 ps,warning,,,,29. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
32,185000 ps,warning,,,,31. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
34,195000 ps,warning,,,,33. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
36,205000 ps,warning,,,,35. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
38,215000 ps,warning,,,,37. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
40,225000 ps,warning,,,,39. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
42,235000 ps,warning,,,,41. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
44,245000 ps,warning,,,,43. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
46,255000 ps,warning,,,,45. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
48,265000 ps,warning,,,,47. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
50,275000 ps,warning,,,,49. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
52,285000 ps,warning,,,,51. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
54,295000 ps,warning,,,,53. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
56,305000 ps,warning,,,,55. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
58,315000 ps,warning,,,,57. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
60,325000 ps,warning,,,,59. This check failed. Expected sig_SCLK =  '1', got sig_SCLK =  '0' at n = 6.
