7,35000 ps,warning,,1,,1,F,'0','1',2
9,45000 ps,warning,,2,,2,F,'0','1',3
11,75000 ps,warning,,3,,3,F,'1','0',6
13,85000 ps,warning,,4,,4,F,'1','0',7
