7,45000 ps,warning,,5,,5,TX_Done,'1','0',3
9,75000 ps,warning,,9,,9,SCLK,'1','0',6
11,85000 ps,warning,,11,,11,SCLK,'1','0',6
13,95000 ps,warning,,13,,13,SCLK,'1','0',6
15,105000 ps,warning,,15,,15,SCLK,'1','0',6
17,115000 ps,warning,,17,,17,SCLK,'1','0',6
19,125000 ps,warning,,19,,19,SCLK,'1','0',6
21,135000 ps,warning,,21,,21,SCLK,'1','0',6
23,145000 ps,warning,,23,,23,SCLK,'1','0',6
25,155000 ps,warning,,25,,25,SCLK,'1','0',6
27,165000 ps,warning,,27,,27,SCLK,'1','0',6
29,175000 ps,warning,,29,,29,SCLK,'1','0',6
31,185000 ps,warning,,31,,31,SCLK,'1','0',6
33,195000 ps,warning,,33,,33,SCLK,'1','0',6
35,205000 ps,warning,,35,,35,SCLK,'1','0',6
37,215000 ps,warning,,37,,37,SCLK,'1','0',6
39,225000 ps,warning,,39,,39,SCLK,'1','0',6
41,235000 ps,warning,,41,,41,SCLK,'1','0',6
43,245000 ps,warning,,43,,43,SCLK,'1','0',6
45,255000 ps,warning,,45,,45,SCLK,'1','0',6
47,265000 ps,warning,,47,,47,SCLK,'1','0',6
49,275000 ps,warning,,49,,49,SCLK,'1','0',6
51,285000 ps,warning,,51,,51,SCLK,'1','0',6
53,295000 ps,warning,,53,,53,SCLK,'1','0',6
55,305000 ps,warning,,55,,55,SCLK,'1','0',6
57,315000 ps,warning,,57,,57,SCLK,'1','0',6
59,325000 ps,warning,,59,,59,SCLK,'1','0',6
61,335000 ps,warning,,61,,61,SCLK,'1','0',6
63,345000 ps,warning,,63,,63,SCLK,'1','0',6
65,355000 ps,warning,,65,,65,SCLK,'1','0',6
67,365000 ps,warning,,67,,67,SCLK,'1','0',6
69,375000 ps,warning,,69,,69,SCLK,'1','0',6
71,385000 ps,warning,,71,,71,SCLK,'1','0',6
73,395000 ps,warning,,73,,73,SCLK,'1','0',6
75,405000 ps,warning,,75,,75,SCLK,'1','0',6
77,415000 ps,warning,,77,,77,SCLK,'1','0',6
79,425000 ps,warning,,79,,79,SCLK,'1','0',6
81,435000 ps,warning,,81,,81,SCLK,'1','0',6
83,445000 ps,warning,,83,,83,SCLK,'1','0',6
85,455000 ps,warning,,85,,85,SCLK,'1','0',6
87,465000 ps,warning,,87,,87,SCLK,'1','0',6
89,475000 ps,warning,,89,,89,SCLK,'1','0',6
91,485000 ps,warning,,91,,91,SCLK,'1','0',6
93,495000 ps,warning,,93,,93,SCLK,'1','0',6
95,505000 ps,warning,,95,,95,SCLK,'1','0',6
97,515000 ps,warning,,97,,97,SCLK,'1','0',6
99,525000 ps,warning,,99,,99,SCLK,'1','0',6
101,535000 ps,warning,,101,,101,SCLK,'1','0',6
103,545000 ps,warning,,103,,103,SCLK,'1','0',6
105,555000 ps,warning,,105,,105,SCLK,'1','0',6
107,565000 ps,warning,,107,,107,SCLK,'1','0',6
109,575000 ps,warning,,109,,109,SCLK,'1','0',6
111,585000 ps,warning,,111,,111,SCLK,'1','0',6
